Participant_ID,Group,Age,Gender,Daily_RE_Mean,Daily_RE_Mean_Z,sdRE,meanEMAPos,sdEMAPos,meanEMANeg,sdEMANeg,meanOverallAffect,sdOverallAffect,DOSPERT_Total,DOSPERT_Percent,CARE_Total,CARE_Percent,Age_Z,AgeZ_Squared,SN_Phone_Final,SN_Text_Final,SN_Phone_Text_Final,Novelty_Average_FirstTenDaysRemoved,Novelty_sd_FirstTenDaysRemoved
P26,1,17.15,M,3.375419299,-1.363828746,2.290997644,90.89189189,25.99656364,10.08108108,26.52187606,80.81081081,52.2875797,87,0.318681319,43,0.180672269,-0.476851256,0.227387121,7,30,37,18.71186441,22.28502733
P56,1,16.43,M,4.533859263,-0.364377317,2.757782228,53.91666667,32.55621512,43.55555556,28.69588765,10.36111111,58.12850433,158,0.578754579,95,0.399159664,-0.655670477,0.429903775,15,22,37,11.69642857,13.76017923
P06,1,13.97,F,3.473608267,-1.27911559,2.69859371,79.47058824,21.51283661,21.94117647,17.99148145,57.52941176,38.73079997,66,0.241758242,34,0.142857143,-1.26663615,1.604367135,NA,NA,NA,11.62745098,16.63846241
P37,1,17.48,F,5.977817119,0.881406484,2.128335234,68.95238095,21.78640904,41.95238095,17.35648637,27,37.54064464,156,0.571428571,109,0.457983193,-0.394892447,0.155940044,56,100,156,36.91935484,27.81337005
P47,1,13.04,F,4.680653253,-0.237729871,2.282088011,58.09677419,25.74795117,44.77419355,22.17913385,13.32258065,45.24701618,91,0.333333333,50,0.210084034,-1.497610977,2.242838638,36,12,48,9,7.057586259
P42,1,16.32,F,5.407040091,0.388964982,1.867250186,61.37837838,23.31350509,42.67567568,24.45182799,18.7027027,46.13257759,148,0.542124542,123,0.516806723,-0.682990081,0.46647545,109,50,159,24.64516129,19.69529924
P03,2,19.74,M,5.6723148,0.61783242,2.181475121,67.9,2.558211181,48.2,15.78888498,19.7,16.04888366,35,0.166666667,46,0.193277311,0.16640122,0.027689366,0,9,9,32.5,22.17201751
P13,1,17.05,F,5.608328527,0.562627857,1.695639206,68.97297297,33.28453635,30.24324324,30.06881497,38.72972973,62.64212669,77,0.282051282,34,0.142857143,-0.501687259,0.251690106,5,5,10,39.27419355,26.04357594
P15,2,18.35,F,5.899565431,0.813894343,1.829209942,91.02941176,24.77839393,15.85294118,26.87471759,75.17647059,47.69630606,56,0.266666667,60,0.25210084,-0.178819221,0.031976314,4,35,39,19.54166667,11.76536267
P40,2,23.19,M,6.468269554,1.304547434,1.443763814,72.28947368,17.78688842,29.71052632,17.75190571,42.57894737,32.68244556,107,0.50952381,85,0.357142857,1.023243321,1.047026894,40,40,80,56.60416667,61.53419378
